Column4,Column1,Column2,Column3
"THB21,360.83","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-512GB-SSD/283514610564?hash=item4202c9a384:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 256GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-256GB-SSD-1TB-HDD/273886629066?hash=item3fc4ea4cca:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 512GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-512GB-SSD-500GB-HDD/273886629147?hash=item3fc4ea4d1b:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 32GB RAM 128GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-32GB-RAM-128GB-SSD/273886629159?hash=item3fc4ea4d27:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 512GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-512GB-SSD-1TB-HDD/283514610591?hash=item4202c9a39f:g:YEMAAOSwolRcp~5x,Watch
"THB21,986.79","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 256GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-256GB-SSD-2TB-HDD/273886628999?hash=item3fc4ea4c87:g:YEMAAOSwolRcp~5x,Watch
"THB21,047.85","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 256GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-256GB-SSD-2TB-HDD/283514610662?hash=item4202c9a3e6:g:YEMAAOSwolRcp~5x,Watch
"THB21,047.85","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-128GB-SSD-1TB-HDD/283514610712?hash=item4202c9a418:g:YEMAAOSwolRcp~5x,Watch
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 512GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-512GB-SSD-500GB-HDD/273886629039?hash=item3fc4ea4caf:g:YEMAAOSwolRcp~5x,Watch
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-128GB-SSD-2TB-HDD/273886629099?hash=item3fc4ea4ceb:g:YEMAAOSwolRcp~5x,Watch
"THB2,974.26",,,33 Sold
"THB37,020.88",,,
"THB4,595.19 to THB8,836.89",,,
"THB3,980.78",NEW LISTINGAcer Aspire F5-571 Laptop Intel 5th-Gen i3-5005U 2GHz 8Gb DDR3 2Tb Windows 10,https://www.ebay.com/itm/Acer-Aspire-F5-571-Laptop-Intel-5th-Gen-i3-5005U-2GHz-8Gb-DDR3-2Tb-Windows-10/183845188374?hash=item2ace06f316:g:BZwAAOSwMutc~mg1,Watch
"THB19,169.98","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 128GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-128GB-SSD-500GB-HDD/283514610502?hash=item4202c9a346:g:YEMAAOSwolRcp~5x,Watch
"THB7,961.17 to THB10,608.39",,,
"THB9,419.25",,,
"THB19,169.98","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-128GB-SSD-1TB-HDD/283514610504?hash=item4202c9a348:g:YEMAAOSwolRcp~5x,Watch
"THB22,612.75","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-128GB-SSD-2TB-HDD/273886629290?hash=item3fc4ea4daa:g:YEMAAOSwolRcp~5x,Watch
"THB22,612.75","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-512GB-SSD/283514610603?hash=item4202c9a3ab:g:YEMAAOSwolRcp~5x,Watch
"THB18,857.00","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 256GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-256GB-SSD-500GB-HDD/273886629132?hash=item3fc4ea4d0c:g:YEMAAOSwolRcp~5x,Watch
"THB18,857.00","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-256GB-SSD/283514610598?hash=item4202c9a3a6:g:YEMAAOSwolRcp~5x,Watch
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-256GB-SSD/273886629319?hash=item3fc4ea4dc7:g:YEMAAOSwolRcp~5x,Watch
"THB18,231.04","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-128GB-SSD-1TB-HDD/283514610444?hash=item4202c9a30c:g:YEMAAOSwolRcp~5x,Watch
"THB20,108.92","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 24GB RAM 128GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-24GB-RAM-128GB-SSD/283514610559?hash=item4202c9a37f:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-512GB-SSD/283514610447?hash=item4202c9a30f:g:YEMAAOSwolRcp~5x,Watch
"THB5,184.31 to THB11,075.57",,,
"THB7,432.63",,,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-128GB-SSD-2TB-HDD/283514610489?hash=item4202c9a339:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-128GB-SSD-1TB-HDD/283514610544?hash=item4202c9a370:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 256GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-256GB-SSD-500GB-HDD/283514610643?hash=item4202c9a3d3:g:YEMAAOSwolRcp~5x,Watch
"THB19,482.96","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 256GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-256GB-SSD-1TB-HDD/273886629177?hash=item3fc4ea4d39:g:YEMAAOSwolRcp~5x,Watch
"THB19,482.96","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-256GB-SSD/283514610635?hash=item4202c9a3cb:g:YEMAAOSwolRcp~5x,Watch
"THB21,360.83","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 24GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-24GB-RAM-256GB-SSD/273886629018?hash=item3fc4ea4c9a:g:YEMAAOSwolRcp~5x,Watch
"THB21,360.83","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-128GB-SSD-2TB-HDD/273886629140?hash=item3fc4ea4d14:g:YEMAAOSwolRcp~5x,Watch
"THB25,666.10",,,4% off
"THB8,622.27",,,Free International Shipping
"THB21,360.83","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 512GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-512GB-SSD-1TB-HDD/283514610534?hash=item4202c9a366:g:YEMAAOSwolRcp~5x,Watch
"THB21,360.83","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-512GB-SSD/283514610564?hash=item4202c9a384:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 256GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-256GB-SSD-1TB-HDD/273886629066?hash=item3fc4ea4cca:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 512GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-512GB-SSD-500GB-HDD/273886629147?hash=item3fc4ea4d1b:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 32GB RAM 128GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-32GB-RAM-128GB-SSD/273886629159?hash=item3fc4ea4d27:g:YEMAAOSwolRcp~5x,Watch
"THB22,299.77","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 512GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-512GB-SSD-1TB-HDD/283514610591?hash=item4202c9a39f:g:YEMAAOSwolRcp~5x,Watch
"THB21,986.79","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 256GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-256GB-SSD-2TB-HDD/273886628999?hash=item3fc4ea4c87:g:YEMAAOSwolRcp~5x,Watch
"THB21,047.85","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 256GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-256GB-SSD-2TB-HDD/283514610662?hash=item4202c9a3e6:g:YEMAAOSwolRcp~5x,Watch
"THB21,047.85","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-128GB-SSD-1TB-HDD/283514610712?hash=item4202c9a418:g:YEMAAOSwolRcp~5x,Watch
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 512GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-512GB-SSD-500GB-HDD/273886629039?hash=item3fc4ea4caf:g:YEMAAOSwolRcp~5x,Watch
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-128GB-SSD-2TB-HDD/273886629099?hash=item3fc4ea4ceb:g:YEMAAOSwolRcp~5x,Watch
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-512GB-SSD/283514610503?hash=item4202c9a347:g:YEMAAOSwolRcp~5x,Watch
"THB18,544.02","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 128GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-128GB-SSD-500GB-HDD/283514610451?hash=item4202c9a313:g:YEMAAOSwolRcp~5x,Watch
"THB2,388.07 to THB6,368.85",,,13+ Watching
